# Time-averaged data for fix f6
# TimeStep c_Mnmsd[1] c_Mnmsd[2] c_Mnmsd[3] c_Mnmsd[4]
42725 0.0162553 0.0101202 0.0131528 0.0395282
42730 0.0164375 0.0101078 0.0133898 0.039935
42735 0.01662 0.0102396 0.0136165 0.0404761
42740 0.0167753 0.0104957 0.0138055 0.0410765
42745 0.0168828 0.0108493 0.013935 0.0416672
42750 0.0169317 0.011271 0.0139911 0.0421938
42755 0.0169211 0.0117313 0.0139692 0.0426216
42760 0.0168591 0.0122038 0.0138752 0.0429381
42765 0.0167601 0.0126671 0.0137237 0.0431509
42770 0.0166418 0.013106 0.013536 0.0432838
42775 0.0165222 0.0135117 0.013337 0.0433709
42780 0.0164177 0.0138814 0.0131513 0.0434504
42785 0.0163411 0.0142173 0.0130001 0.0435584
42790 0.0163008 0.0145232 0.0128993 0.0437232
42795 0.0163006 0.0148023 0.012858 0.0439609
42800 0.01634 0.0150546 0.0128788 0.0442734
42805 0.0164152 0.0152755 0.0129578 0.0446486
42810 0.0165207 0.0154557 0.013086 0.0450624
42815 0.0166508 0.0155816 0.0132503 0.0454827
42820 0.016801 0.0156374 0.0134344 0.0458727
42825 0.0169684 0.0156072 0.0136195 0.0461952
42830 0.0171524 0.0154786 0.0137856 0.0464166
42835 0.0173534 0.0152456 0.0139128 0.0465118
42840 0.0175721 0.0149117 0.0139836 0.0464674
42845 0.0178078 0.014491 0.0139853 0.0462841
42850 0.0180565 0.0140088 0.0139115 0.0459769
42855 0.0183099 0.0135002 0.0137639 0.0455741
42860 0.0185541 0.013007 0.0135516 0.0451127
42865 0.0187699 0.0125732 0.0132909 0.0446339
42870 0.0189338 0.0122394 0.0130037 0.0441769
42875 0.0190196 0.0120375 0.0127166 0.0437737
42880 0.0190011 0.0119857 0.0124575 0.0434443
42885 0.0188549 0.0120855 0.0122533 0.0431937
42890 0.0185642 0.012321 0.0121264 0.0430116
42895 0.0181215 0.0126616 0.0120919 0.0428751
42900 0.0175312 0.0130661 0.0121556 0.0427528
42905 0.0168105 0.013489 0.0123129 0.0426124
42910 0.0159897 0.0138882 0.01255 0.0424279
42915 0.0151112 0.014231 0.0128455 0.0421878
42920 0.0142268 0.0145 0.0131737 0.0419005
42925 0.0133923 0.0146941 0.0135081 0.0415946
42930 0.0126621 0.0148268 0.0138252 0.0413141
42935 0.0120812 0.0149202 0.0141073 0.0411087
42940 0.0116803 0.0149973 0.0143444 0.041022
42945 0.0114719 0.015075 0.0145354 0.0410822
42950 0.0114501 0.0151591 0.0146884 0.0412976
42955 0.011593 0.0152427 0.0148204 0.0416561
42960 0.0118666 0.0153072 0.0149553 0.0421291
42965 0.01223 0.015327 0.0151207 0.0426777
42970 0.012639 0.0152739 0.0153441 0.043257
42975 0.0130512 0.0151231 0.0156467 0.043821
42980 0.013429 0.0148575 0.0160387 0.0443252
42985 0.0137441 0.0144707 0.0165147 0.0447295
42990 0.0139804 0.0139685 0.0170522 0.0450012
42995 0.0141366 0.0133683 0.017613 0.0451179
43000 0.0142273 0.0126976 0.0181473 0.0450722
43005 0.0142807 0.0119915 0.0186012 0.0448735
43010 0.0143342 0.0112899 0.0189247 0.0445489
43015 0.0144277 0.0106349 0.0190791 0.0441416
43020 0.0145967 0.0100671 0.0190419 0.0437056
43025 0.0148666 0.00962291 0.0188102 0.0432997
43030 0.0152498 0.00933108 0.0184011 0.042982
43035 0.0157446 0.00920915 0.017849 0.0428027
43040 0.0163363 0.00926017 0.0172009 0.0427973
43045 0.0169985 0.00947052 0.0165098 0.0429788
43050 0.0176963 0.00980976 0.0158278 0.0433339
43055 0.0183903 0.0102329 0.0151987 0.0438219
43060 0.0190385 0.0106853 0.0146527 0.0443766
43065 0.0195998 0.0111088 0.0142035 0.0449121
43070 0.0200371 0.0114489 0.0138481 0.0453341
43075 0.0203212 0.0116616 0.0135696 0.0455524
43080 0.0204349 0.0117186 0.013342 0.0454955
43085 0.0203742 0.0116118 0.0131355 0.0451215
43090 0.0201493 0.011353 0.012923 0.0444252
43095 0.0197827 0.0109722 0.0126847 0.0434396
43100 0.0193059 0.0105124 0.0124126 0.0422309
43105 0.0187552 0.0100231 0.0121113 0.0408895
43110 0.0181669 0.00955303 0.0117979 0.0395178
43115 0.0175741 0.00914444 0.0114987 0.0382172
43120 0.0170041 0.00882903 0.0112444 0.0370775
43125 0.016478 0.00862635 0.0110639 0.0361683
43130 0.0160109 0.00854413 0.0109789 0.0355339
43135 0.0156133 0.00858026 0.010999 0.0351926
43140 0.0152919 0.00872537 0.0111204 0.0351376
43145 0.0150501 0.00896553 0.0113269 0.0353425
43150 0.0148884 0.00928465 0.0115941 0.0357672
43155 0.0148048 0.0096664 0.0118948 0.036366
43160 0.0147943 0.0100952 0.0122034 0.037093
43165 0.0148497 0.0105565 0.0124994 0.0379055
43170 0.014961 0.0110367 0.012768 0.0387657
43175 0.0151165 0.0115228 0.0130001 0.0396394
43180 0.0153041 0.0120017 0.0131901 0.0404959
43185 0.0155127 0.01246 0.0133356 0.0413082
43190 0.0157337 0.0128852 0.0134359 0.0420548
43195 0.0159618 0.0132662 0.0134928 0.0427207
43200 0.0161936 0.0135939 0.0135098 0.0432974
43205 0.0164258 0.0138618 0.0134924 0.0437801
43210 0.016652 0.0140651 0.0134475 0.0441645
43215 0.0168603 0.0142005 0.0133827 0.0444435
43220 0.017033 0.0142668 0.0133062 0.044606
43225 0.0171479 0.014265 0.0132253 0.0446382
43230 0.0171818 0.0141998 0.0131458 0.0445274
43235 0.0171154 0.0140805 0.0130709 0.0442669
43240 0.0169385 0.0139218 0.0130004 0.0438606
43245 0.0166531 0.0137425 0.0129302 0.0433258
43250 0.0162758 0.0135643 0.012853 0.042693
43255 0.0158356 0.0134086 0.0127593 0.0420035
43260 0.0153709 0.0132949 0.0126398 0.0413056
43265 0.0149245 0.0132376 0.0124873 0.0406494
43270 0.0145377 0.0132455 0.0122996 0.0400827
43275 0.0142449 0.0133207 0.0120809 0.0396466
43280 0.0140697 0.0134592 0.0118424 0.0393713
43285 0.0140213 0.0136517 0.011602 0.0392749
43290 0.0140946 0.013884 0.0113827 0.0393612
43295 0.0142706 0.0141387 0.0112107 0.0396199
43300 0.014519 0.014396 0.0111121 0.0400271
43305 0.0148013 0.0146354 0.0111096 0.0405463
43310 0.0150748 0.0148373 0.0112188 0.0411309
43315 0.0152969 0.0149847 0.0114454 0.0417271
43320 0.0154297 0.0150654 0.0117838 0.0422789
43325 0.0154448 0.0150725 0.012216 0.0427332
43330 0.0153277 0.0150049 0.0127138 0.0430464
43335 0.0150798 0.0148666 0.0132415 0.0431879
43340 0.0147193 0.0146644 0.0137596 0.0431433
43345 0.0142792 0.0144064 0.0142295 0.0429151
43350 0.0138048 0.0141003 0.0146177 0.0425228
43355 0.0133473 0.0137529 0.0149004 0.0420005
43360 0.0129581 0.0133702 0.0150659 0.0413942
43365 0.0126819 0.012958 0.0151159 0.0407558
43370 0.0125508 0.0125227 0.0150646 0.0401381
43375 0.0125803 0.0120724 0.0149354 0.0395881
43380 0.0127677 0.0116175 0.0147575 0.0391427
43385 0.0130933 0.0111714 0.0145595 0.0388243
43390 0.0135242 0.0107504 0.0143654 0.03864
43395 0.0140195 0.0103725 0.0141899 0.0385819
43400 0.0145359 0.010056 0.0140375 0.0386294
43405 0.0150334 0.0098172 0.0139028 0.0387534
43410 0.0154786 0.00966838 0.0137732 0.0389202
43415 0.0158468 0.00961652 0.0136335 0.0390968
43420 0.0161225 0.00966314 0.01347 0.0392557
43425 0.0162991 0.00980522 0.0132747 0.0393791
43430 0.0163775 0.0100365 0.013047 0.0394609
43435 0.0163657 0.0103486 0.0127933 0.0395076
43440 0.0162786 0.0107316 0.0125255 0.0395357
43445 0.0161368 0.0111736 0.0122578 0.0395682
43450 0.015965 0.0116603 0.0120044 0.0396296
43455 0.0157897 0.0121743 0.0117766 0.0397406
43460 0.015636 0.0126948 0.0115826 0.0399134
43465 0.0155245 0.013199 0.0114271 0.0401506
43470 0.0154688 0.0136631 0.0113122 0.0404441
