# Chunk-averaged data for fix 3 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
1050 20 6000
  12 0.575 294 2448.84
  13 0.625 301 2299.72
  14 0.675 293.7 2162.49
  15 0.725 305.7 1953.52
  16 0.775 298.8 1909.59
  17 0.825 298.7 1824.02
  18 0.875 297.6 1804.29
  19 0.925 305.6 1743.13
  20 0.975 303.3 1658.33
42000 20 6000
  1 0.025 307.3 1572.18
  2 0.075 299.6 1580.02
  3 0.125 300.7 1757.57
  4 0.175 302.1 1824.74
  5 0.225 301.7 1889.32
  6 0.275 296 2001.14
  7 0.325 299.1 2057.16
  8 0.375 305 2162.87
  9 0.425 298.8 2228.41
  10 0.475 301.9 2260.73
  11 0.525 298 2440.72
  12 0.575 292.4 2465.83
  13 0.625 299.5 2265.37
  14 0.675 294 2269.78
  15 0.725 307.5 2044.13
  16 0.775 292.3 1912.32
  17 0.825 298.3 1851.06
  18 0.875 297.3 1774.67
  19 0.925 306.3 1697.71
  20 0.975 302.2 1629.03
43050 20 6000
  1 0.025 307.3 1504.2
  2 0.075 296.5 1656.17
  3 0.125 296.8 1739.95
  4 0.175 307.3 1775.98
  5 0.225 301.8 1948.99
  6 0.275 293.8 1985.74
  7 0.325 300 2091.18
  8 0.375 300 2131.75
  9 0.425 304.4 2222.45
  10 0.475 303.1 2258.43
  11 0.525 298.2 2479.2
  12 0.575 299.3 2345.49
  13 0.625 298.3 2396.6
  14 0.675 291.9 2119.71
  15 0.725 310.2 2036.48
  16 0.775 297.1 1947.38
  17 0.825 295.4 1803.89
  18 0.875 294.8 1790.26
  19 0.925 302.4 1742.32
  20 0.975 301.4 1646.6
44100 20 6000
  1 0.025 307.9 1648.22
  2 0.075 299.1 1745.23
  3 0.125 298.5 1737.83
  4 0.175 302.7 1781.96
  5 0.225 303 1872.36
  6 0.275 294.9 1936.44
  7 0.325 297.9 2043.13
  8 0.375 299.3 2121.95
  9 0.425 301.2 2202.1
  10 0.475 300.2 2250.03
  11 0.525 292.1 2443.15
  12 0.575 294.8 2379.2
  13 0.625 299.6 2220.7
  14 0.675 296.3 2252.34
  15 0.725 307.2 2069.7
  16 0.775 295.8 1892.58
  17 0.825 297.8 1815.3
  18 0.875 298 1795
  19 0.925 307.9 1731.91
  20 0.975 305.8 1643.58
45150 20 6000
  1 0.025 307.9 1608.8
  2 0.075 297.6 1702.33
  3 0.125 301.5 1773.07
  4 0.175 301.2 1795.99
  5 0.225 304.4 1874.5
  6 0.275 296.1 2010.94
