# LAMMPS data file

6000 atoms
4 atom types

0.0 26.789730072 xlo xhi
0.0 46.5447616577 ylo yhi
0.0 49.9407077933 zlo zhi
0.0 -9.1225643158 0.0 xy xz yz

Masses

1   6.941  # Li
2 118.71   # Sn
3  15.9994 # O
4  58.6934 # Ni

Atoms  # charge

299 1 0.0 3.969558338 45.814939093 29.973424425
300 1 0.0 2.145045583 45.814939093 39.961565388
301 1 0.0 14.801042701 8.579130599 0.008999316
302 1 0.0 12.976529813 8.579130599 9.99714101
303 1 0.0 11.152017059 8.579130599 19.985281973
304 1 0.0 9.327504033 8.579130599 29.973424425
305 1 0.0 7.502991278 8.579130599 39.961565388
306 1 0.0 14.801042701 17.888082375 0.008999316
307 1 0.0 12.976529813 17.888082375 9.99714101
308 1 0.0 11.152017059 17.888082375 19.985281973
309 1 0.0 9.327504033 17.888082375 29.973424425
310 1 0.0 7.502991278 17.888082375 39.961565388
311 1 0.0 14.801042701 27.197035539 0.008999316
312 1 0.0 12.976529813 27.197035539 9.99714101
313 1 0.0 11.152017059 27.197035539 19.985281973
314 1 0.0 9.327504033 27.197035539 29.973424425
315 1 0.0 7.502991278 27.197035539 39.961565388
316 1 0.0 14.801042701 36.505987316 0.008999316
317 1 0.0 12.976529813 36.505987316 9.99714101
318 1 0.0 11.152017059 36.505987316 19.985281973
319 1 0.0 9.327504033 36.505987316 29.973424425
320 1 0.0 7.502991278 36.505987316 39.961565388
321 1 0.0 14.801042701 45.814939093 0.008999316
322 1 0.0 12.976529813 45.814939093 9.99714101
323 1 0.0 11.152017059 45.814939093 19.985281973
324 1 0.0 9.327504033 45.814939093 29.973424425
325 1 0.0 7.502991278 45.814939093 39.961565388
326 1 0.0 20.158988396 8.579130599 0.008999316
327 1 0.0 18.334475508 8.579130599 9.99714101
328 1 0.0 16.509962754 8.579130599 19.985281973
329 1 0.0 14.685449728 8.579130599 29.973424425
330 1 0.0 12.860936973 8.579130599 39.961565388
331 1 0.0 20.158988396 17.888082375 0.008999316
332 1 0.0 18.334475508 17.888082375 9.99714101
333 1 0.0 16.509962754 17.888082375 19.985281973
334 1 0.0 14.685449728 17.888082375 29.973424425
335 1 0.0 12.860936973 17.888082375 39.961565388
336 1 0.0 20.158988396 27.197035539 0.008999316
337 1 0.0 18.334475508 27.197035539 9.99714101
338 1 0.0 16.509962754 27.197035539 19.985281973
339 1 0.0 14.685449728 27.197035539 29.973424425
340 1 0.0 12.860936973 27.197035539 39.961565388
341 1 0.0 20.158988396 36.505987316 0.008999316
342 1 0.0 18.334475508 36.505987316 9.99714101
343 1 0.0 16.509962754 36.505987316 19.985281973
344 1 0.0 14.685449728 36.505987316 29.973424425
345 1 0.0 12.860936973 36.505987316 39.961565388
346 1 0.0 20.158988396 45.814939093 0.008999316
347 1 0.0 18.334475508 45.814939093 9.99714101
348 1 0.0 16.509962754 45.814939093 19.985281973
349 1 0.0 14.685449728 45.814939093 29.973424425
350 1 0.0 12.860936973 45.814939093 39.961565388
351 1 0.0 25.516935688 8.579130599 0.008999316
352 1 0.0 23.6924228 8.579130599 9.99714101
353 1 0.0 21.867910046 8.579130599 19.985281973
354 1 0.0 20.043397019 8.579130599 29.973424425
355 1 0.0 18.218884265 8.579130599 39.961565388
356 1 0.0 25.516935688 17.888082375 0.008999316
357 1 0.0 23.6924228 17.888082375 9.99714101
358 1 0.0 21.867910046 17.888082375 19.985281973
359 1 0.0 20.043397019 17.888082375 29.973424425
360 1 0.0 18.218884265 17.888082375 39.961565388
361 1 0.0 25.516935688 27.197035539 0.008999316
362 1 0.0 23.6924228 27.197035539 9.99714101
363 1 0.0 21.867910046 27.197035539 19.985281973
364 1 0.0 20.043397019 27.197035539 29.973424425
365 1 0.0 18.218884265 27.197035539 39.961565388
366 1 0.0 25.516935688 36.505987316 0.008999316
367 1 0.0 23.6924228 36.505987316 9.99714101
368 1 0.0 21.867910046 36.505987316 19.985281973
369 1 0.0 20.043397019 36.505987316 29.973424425
370 1 0.0 18.218884265 36.505987316 39.961565388
371 1 0.0 25.516935688 45.814939093 0.008999316
372 1 0.0 23.6924228 45.814939093 9.99714101
373 1 0.0 21.867910046 45.814939093 19.985281973
374 1 0.0 20.043397019 45.814939093 29.973424425
375 1 0.0 18.218884265 45.814939093 39.961565388
376 1 0.0 0.360538803 8.579130599 4.985071179
377 1 0.0 -1.463974088 8.579130599 14.973212886
378 1 0.0 -3.288486842 8.579130599 24.96135385
379 1 0.0 -5.112999868 8.579130599 34.949496301
380 1 0.0 -6.937512623 8.579130599 44.937637265
381 1 0.0 0.360538803 17.888082375 4.985071179
382 1 0.0 -1.463974088 17.888082375 14.973212886
383 1 0.0 -3.288486842 17.888082375 24.96135385
384 1 0.0 -5.112999868 17.888082375 34.949496301
385 1 0.0 -6.937512623 17.888082375 44.937637265
386 1 0.0 0.360538803 27.197035539 4.985071179
387 1 0.0 -1.463974088 27.197035539 14.973212886
388 1 0.0 -3.288486842 27.197035539 24.96135385
389 1 0.0 -5.112999868 27.197035539 34.949496301
390 1 0.0 -6.937512623 27.197035539 44.937637265
391 1 0.0 0.360538803 36.505987316 4.985071179
392 1 0.0 -1.463974088 36.505987316 14.973212886
393 1 0.0 -3.288486842 36.505987316 24.96135385
394 1 0.0 -5.112999868 36.505987316 34.949496301
395 1 0.0 -6.937512623 36.505987316 44.937637265
396 1 0.0 0.360538803 45.814939093 4.985071179
397 1 0.0 -1.463974088 45.814939093 14.973212886
398 1 0.0 -3.288486842 45.814939093 24.96135385
399 1 0.0 -5.112999868 45.814939093 34.949496301
400 1 0.0 -6.937512623 45.814939093 44.937637265
401 1 0.0 5.718484897 8.579130599 4.985071179
402 1 0.0 3.893972007 8.579130599 14.973212886
403 1 0.0 2.069459252 8.579130599 24.96135385
404 1 0.0 0.244946226 8.579130599 34.949496301
405 1 0.0 -1.579566528 8.579130599 44.937637265
406 1 0.0 5.718484897 17.888082375 4.985071179
407 1 0.0 3.893972007 17.888082375 14.973212886
408 1 0.0 2.069459252 17.888082375 24.96135385
409 1 0.0 0.244946226 17.888082375 34.949496301
410 1 0.0 -1.579566528 17.888082375 44.937637265
411 1 0.0 5.718484897 27.197035539 4.985071179
