ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7200
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.3969359240097674e+00 1.4533293592401117e+02 0.0000000000000000e+00
-1.9408916347967953e-01 2.1784489163479449e+01 0.0000000000000000e+00
4.8660990128253090e-02 2.5711339009871438e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
2163 1 0.895269 13.625 4.95932 -7.6541 -0.0150536 -1.59719 -2.59035 
3603 1 0.778296 13.6943 9.80284 -7.47127 -0.104479 -2.73783 -0.152394 
724 1 1.24121 12.598 2.0921 -7.97858 1.63215 0.211863 0.984144 
2403 1 1.24209 17.753 5.70408 -7.95345 -0.613534 -2.15515 0.355423 
3843 1 1.37794 17.5754 10.5616 -7.53076 2.05696 0.480992 0.563019 
1463 1 9.82028 0.962655 10.8108 -8.17675 1.43898 -3.09945 0.311159 
2643 1 1.05203 20.8612 4.61338 -8.25257 -2.02364 0.92955 0.394983 
4083 1 0.856646 20.6788 9.9326 -7.15249 -0.378919 2.07475 0.152607 
3620 2 10.6825 13.3282 11.6886 -29.8134 -0.582459 2.10947 0.115739 
1449 1 4.50476 2.70213 4.74087 -7.74806 0.707922 -2.69648 0.45673 
2889 1 4.7123 2.76854 9.84552 -7.01395 -1.26705 -0.907071 0.81666 
4100 2 10.337 20.9762 11.6114 -28.6061 0.648502 -1.00836 -0.870109 
1689 1 5.01453 6.6675 5.37575 -7.54721 -0.787875 -0.15188 2.39499 
3129 1 5.17869 6.63895 10.7015 -8.45885 -1.09427 -0.321735 -0.130566 
2410 1 4.82058 16.1328 7.31688 -6.63354 2.18544 2.11639 2.30928 
1929 1 4.38489 9.84765 4.76964 -8.97628 -0.92954 0.739428 -1.11521 
3369 1 4.74409 9.88428 9.82328 -8.21683 -2.22872 0.860398 1.22958 
3124 1 1.4912 5.3874 12.5025 -8.42438 -1.19017 0.341312 -0.976314 
2169 1 5.10696 14.1254 5.75873 -7.54897 -0.28777 -2.61206 -1.72697 
3609 1 5.00352 14.2133 10.9611 -8.01778 1.6003 -1.76641 -0.157983 
250 1 5.73126 6.14878 2.91808 -7.18524 -0.673472 0.237714 1.43045 
2409 1 4.48329 17.2153 5.16802 -7.79137 2.06758 0.638653 -3.45391 
3849 1 4.84342 17.0287 10.0741 -9.14931 -0.164105 1.03355 -0.55958 
5771 1 2.70099 0.555628 0.359247 -7.81614 -0.158451 -0.49473 -0.320522 
2649 1 4.77344 21.1214 5.35269 -8.20397 3.23315 2.05895 0.458662 
4089 1 5.42244 21.2385 10.7138 -8.24216 -4.28857 0.700202 0.197102 
4096 1 8.77661 19.8705 12.2285 -8.51392 -0.593746 -0.658904 1.58892 
1455 1 8.68183 3.18146 5.75226 -7.55101 0.499196 -1.39956 1.20557 
2895 1 8.89799 3.44707 11.0187 -8.18184 -0.57258 1.15549 -1.36429 
1930 1 4.86225 9.15364 7.23555 -8.61212 2.31118 0.526954 -0.367384 
1695 1 7.79378 6.18625 4.99203 -7.49489 2.19431 -0.489122 -1.83861 
3135 1 8.3896 6.4318 10.0358 -8.55381 -0.279848 -1.27187 -0.97383 
2650 1 5.91402 20.8689 8.22283 -6.50401 -0.544157 -0.370945 -0.0950091 
1935 1 8.7753 10.4256 5.76858 -8.7843 0.792093 1.30837 0.526132 
