# Time-averaged data for fix f2
# TimeStep c_Comsd[1] c_Comsd[2] c_Comsd[3] c_Comsd[4]
42380 0.00936106 0.0134867 0.00933022 0.032178
42385 0.00947073 0.013238 0.00911346 0.0318222
42390 0.00955308 0.012999 0.00891738 0.0314695
42395 0.00960381 0.0127729 0.00875352 0.0311302
42400 0.00962122 0.012557 0.00862544 0.0308036
42405 0.00960724 0.0123435 0.00852843 0.0304792
42410 0.00956776 0.0121215 0.00845155 0.0301408
42415 0.00951268 0.0118798 0.00838173 0.0297743
42420 0.00945392 0.0116085 0.00830704 0.0293695
42425 0.00940405 0.0113025 0.00821585 0.0289224
42430 0.0093731 0.0109681 0.00810319 0.0284444
42435 0.00936606 0.0106193 0.00797054 0.0279559
42440 0.00938271 0.010275 0.00782506 0.0274827
42445 0.00941817 0.00995434 0.00767869 0.0270512
42450 0.00946381 0.0096718 0.00754204 0.0266777
42455 0.00950913 0.00943523 0.0074255 0.0263699
42460 0.00954455 0.00924545 0.00733868 0.0261287
42465 0.00956395 0.00909806 0.00728835 0.0259504
42470 0.00956685 0.00898545 0.00727916 0.0258315
42475 0.0095587 0.00889933 0.00731348 0.0257715
42480 0.00954859 0.00883102 0.00739041 0.02577
42485 0.00954499 0.00877431 0.00750679 0.0258261
42490 0.00955368 0.00872583 0.00765739 0.0259369
42495 0.00957783 0.0086778 0.00783539 0.026091
42500 0.00961693 0.00862264 0.00803532 0.0262749
42505 0.00966803 0.00855671 0.00825401 0.0264787
42510 0.00972863 0.00848114 0.00849123 0.026701
42515 0.00979896 0.00840242 0.00874895 0.0269503
42520 0.00988199 0.00833133 0.00903114 0.0272445
42525 0.00998312 0.00827929 0.00934155 0.027604
42530 0.0101076 0.00825475 0.00968057 0.028043
42535 0.0102571 0.00826056 0.0100424 0.0285601
42540 0.0104276 0.0082928 0.0104171 0.0291375
42545 0.0106091 0.00834253 0.0107907 0.0297423
42550 0.0107866 0.00839866 0.0111448 0.0303301
42555 0.0109435 0.00845136 0.0114612 0.0308561
42560 0.0110694 0.00849478 0.0117243 0.0312885
42565 0.0111617 0.00852769 0.011921 0.0316104
42570 0.0112293 0.00855639 0.0120474 0.0318332
42575 0.0112911 0.00859278 0.0121051 0.031989
42580 0.0113718 0.00865173 0.0120995 0.0321231
42585 0.0114953 0.00874816 0.0120398 0.0322832
42590 0.0116784 0.0088937 0.0119372 0.0325093
42595 0.0119265 0.00909363 0.0118042 0.0328243
42600 0.0122299 0.00934615 0.0116548 0.0332309
42605 0.012564 0.00964499 0.0115043 0.0337132
42610 0.0128911 0.00997922 0.0113662 0.0342364
42615 0.0131669 0.0103334 0.0112564 0.0347567
42620 0.0133478 0.0106914 0.0111891 0.0352283
42625 0.0133952 0.01104 0.011173 0.0356082
42630 0.0132846 0.0113686 0.0112144 0.0358676
42635 0.0130097 0.0116673 0.011317 0.035994
42640 0.0125845 0.0119298 0.0114804 0.0359948
42645 0.0120421 0.0121552 0.0117057 0.035903
42650 0.0114295 0.0123461 0.0119943 0.0357699
42655 0.0108003 0.0125098 0.012345 0.0356551
42660 0.0102066 0.0126601 0.0127519 0.0356186
42665 0.00969152 0.0128176 0.0132023 0.0357114
42670 0.00928449 0.0130081 0.0136732 0.0359658
42675 0.00899855 0.0132615 0.0141326 0.0363926
42680 0.008832 0.0136054 0.0145454 0.0369828
42685 0.00877365 0.0140579 0.0148752 0.0377068
42690 0.0088053 0.0146267 0.015093 0.038525
42695 0.00890692 0.0153064 0.0151802 0.0393936
42700 0.00906029 0.0160768 0.0151315 0.0402685
42705 0.00925164 0.0168989 0.014954 0.0411045
42710 0.00947239 0.0177204 0.0146666 0.0418594
42715 0.00971633 0.0184818 0.0142978 0.0424959
42720 0.00997808 0.0191185 0.0138823 0.042979
42725 0.0102521 0.0195704 0.0134539 0.0432764
42730 0.0105318 0.0197898 0.0130427 0.0433643
42735 0.0108105 0.0197475 0.012673 0.043231
42740 0.011083 0.0194352 0.0123606 0.0428788
42745 0.0113468 0.0188664 0.0121125 0.0423257
42750 0.0116035 0.0180755 0.011926 0.041605
42755 0.0118561 0.0171136 0.0117905 0.0407601
42760 0.0121091 0.0160423 0.0116886 0.0398401
42765 0.0123649 0.0149303 0.0115952 0.0388904
