# Time-averaged data for fix f4
# TimeStep c_Crmsd[1] c_Crmsd[2] c_Crmsd[3] c_Crmsd[4]
42520 0.00369934 0.00495729 0.00488755 0.0135442
42525 0.00362454 0.00500067 0.00490355 0.0135288
42530 0.00355484 0.00504498 0.00490388 0.0135037
42535 0.00349677 0.00508539 0.00489096 0.0134731
42540 0.00345686 0.00511767 0.00486856 0.0134431
42545 0.00344083 0.00513913 0.00484115 0.0134211
42550 0.00345288 0.00514939 0.00481327 0.0134155
42555 0.00349511 0.00515101 0.00478933 0.0134355
42560 0.00356725 0.00514959 0.00477334 0.0134902
42565 0.00366666 0.00515317 0.00476872 0.0135885
42570 0.0037885 0.00517106 0.00477806 0.0137376
42575 0.00392618 0.00521228 0.00480288 0.0139413
42580 0.00407192 0.00528386 0.00484351 0.0141993
42585 0.00421745 0.00538943 0.00489924 0.0145061
42590 0.00435484 0.00552828 0.00496874 0.0148519
42595 0.0044773 0.00569499 0.00505054 0.0152228
42600 0.00457993 0.00587992 0.00514349 0.0156033
42605 0.00466024 0.00607048 0.00524717 0.0159779
42610 0.00471834 0.00625298 0.00536203 0.0163334
42615 0.00475685 0.00641473 0.00548949 0.0166611
42620 0.00478032 0.00654587 0.00563163 0.0169578
42625 0.00479454 0.00664069 0.00579068 0.0172259
42630 0.00480556 0.00669802 0.00596823 0.0174718
42635 0.00481878 0.0067207 0.00616411 0.0177036
42640 0.00483822 0.00671448 0.00637551 0.0179282
42645 0.00486601 0.0066866 0.00659619 0.0181488
42650 0.00490235 0.00664452 0.00681649 0.0183634
42655 0.00494577 0.00659495 0.00702392 0.0185646
42660 0.00499359 0.00654335 0.00720445 0.0187414
42665 0.00504259 0.00649372 0.00734419 0.0188805
42670 0.00508947 0.00644858 0.00743116 0.0189692
42675 0.0051312 0.00640902 0.00745669 0.0189969
42680 0.00516511 0.00637478 0.00741639 0.0189563
42685 0.00518887 0.00634425 0.00731046 0.0188436
42690 0.00520045 0.00631453 0.00714347 0.0186584
