ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
7200
ITEM: BOX BOUNDS xy xz yz pp pp pp
-3.3644984672871203e-01 1.4427244984672262e+02 0.0000000000000000e+00
-3.4938705187348873e-02 2.1625338705187247e+01 0.0000000000000000e+00
-1.5887599433890998e-01 2.5918875994338784e+01 0.0000000000000000e+00
ITEM: ATOMS id type x y z c_peratom fx fy fz 
495 1 9.64962 9.7572 0.102285 -7.62052 -0.217509 0.952087 0.769325 
1935 1 9.56227 9.90349 5.395 -7.83416 0.469159 -0.596988 -0.154226 
3375 1 9.61203 9.86061 10.6394 -7.79259 -0.784473 -0.0703492 -0.93704 
735 1 9.53778 13.5759 0.0355276 -8.01369 0.740388 -0.668175 0.0436055 
2175 1 9.65069 13.6642 5.33106 -7.99516 -0.241632 -0.556185 -0.458344 
3615 1 9.63917 13.5043 10.5612 -8.04721 -0.129502 0.495994 -0.152489 
975 1 9.57954 17.1148 0.0372248 -7.97972 1.13085 -0.719656 0.448456 
2415 1 9.43231 17.1402 5.18324 -8.19173 0.964879 0.266121 1.07585 
3855 1 9.73816 17.1926 10.5081 -7.57673 -0.57068 -0.698108 0.434694 
1215 1 9.49866 20.5907 0.135613 -8.2181 -0.520704 0.88688 0.141792 
2655 1 9.46393 20.7864 5.40302 -8.17793 0.265231 -0.427984 -0.781372 
4095 1 9.47928 20.6987 10.509 -8.19099 0.633661 0.485205 -0.140421 
4 1 2.45332 2.58614 2.63745 -7.80039 -0.823016 0.985273 0.454355 
1444 1 2.35782 2.64675 7.86519 -7.95816 -0.49778 0.765126 -0.493841 
244 1 2.36553 6.35552 2.67059 -7.72396 0.149301 -1.40671 0.828154 
1684 1 2.36172 6.35017 7.91722 -7.90475 0.264484 0.60424 -0.691878 
484 1 2.4173 9.86519 2.77186 -7.67743 -0.368766 0.435326 0.224768 
1924 1 2.31453 9.82384 7.97314 -8.18767 -0.917197 1.54971 -0.596608 
724 1 2.35248 13.5537 2.63851 -8.02154 0.565412 0.164543 0.3674 
2164 1 2.31381 13.5283 7.88542 -7.77553 -0.994554 0.380143 0.537995 
964 1 2.39792 17.0774 2.69625 -7.93386 0.456541 0.973592 -0.614728 
2404 1 2.48345 17.2738 7.82358 -7.63562 -0.29912 -1.01063 -0.232211 
1204 1 2.30262 20.8549 2.63189 -7.88137 -0.392154 0.319266 0.307347 
2644 1 2.23939 20.735 7.8233 -8.07862 0.993748 0.574753 0.431932 
10 1 5.9012 2.66309 2.8315 -7.84455 0.286668 1.17399 -1.13213 
1450 1 5.90847 2.65664 8.00269 -7.39336 0.258949 0.427876 0.347639 
250 1 6.10593 6.06649 2.6516 -8.32355 -1.16222 1.22174 -0.790748 
1690 1 5.90451 6.35533 7.86703 -8.12668 0.25356 0.136557 -0.368211 
490 1 5.89778 9.79273 2.70968 -7.87125 0.259139 0.627807 -0.725485 
